"","Rk","Player","Pos","Age","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"375","375","Zeke Nnaji","PF",23,58,0,9.9,1.2,2.6,0.463,0.1,0.4,0.261,1.1,2.2,0.5,0.483,0.7,1.1,0.677,1.1,1.1,2.2,0.6,0.3,0.7,0.5,1.4,3.2,"12.4",".528",".154",".416","12.1","12.2","12.1","7.0","1.3","5.6","13.3","15.4","0.4","0.8","1.2",".099","-3.8","0.1","-3.7","-0.2"
"376","376","Jaylen Nowell","SG",24,13,1,16.5,2.6,6,0.436,0.5,2.2,0.207,2.2,3.8,0.571,0.474,0.5,0.7,0.778,0.5,1.4,1.8,1.5,0.3,0.2,0.5,1.2,6.2,"9.2",".494",".372",".115","3.0","9.6","6.2","13.6","0.9","0.8","7.9","17.8","0.0","0.1","0.1",".016","-4.1","-1.4","-5.4","-0.2"
"377","377","Markquis Nowell","SG",24,1,0,4,0,1,0,0,0,NA,0,1,0,0,2,2,1,2,0,2,2,1,0,0,0,2,"55.5",".532",".000","2.000","53.9","0.0","27.5","57.1","12.1","0.0","0.0","20.1","0.0","0.0","0.1",".665","29.1","14.2","43.3","0.0"
"378","378","Frank Ntilikina","PG",25,5,0,8.6,0.2,1.8,0.111,0.2,1.6,0.125,0,0.2,0,0.167,0.4,0.4,1,0.2,1,1.2,0.8,0,0,0.2,0.8,1,"0.0",".253",".889",".222","2.5","13.5","7.8","11.5","0.0","0.0","9.2","11.2","-0.1","0.0","-0.1","-0.099","-10.0","-3.4","-13.4","-0.1"
"379","379","Jusuf Nurkić","C",29,76,76,27.3,4.2,8.3,0.51,0.3,1.2,0.244,3.9,7.1,0.555,0.528,2.2,3.4,0.64,2.9,8.1,11,4,1.1,1.1,2.3,3.3,10.9,"17.4",".559",".144",".416","12.8","31.7","22.8","19.9","1.9","3.4","19.1","19.1","2.0","3.8","5.8",".133","-1.0","2.1","1.1","1.6"
"380","380","Jordan Nwora","SF",25,52,1,13.7,2.7,5.8,0.462,0.8,2.5,0.336,1.8,3.2,0.56,0.535,0.8,1,0.83,0.5,2.3,2.9,1.2,0.5,0.3,1,0.9,7,"13.7",".565",".438",".177","4.3","19.1","11.6","12.3","1.8","1.6","14.1","22.4","-0.1","0.6","0.5",".034","-1.1","-1.5","-2.5","-0.1"
"381","381","Royce O'Neale","SF",30,79,14,24.7,2.7,6.8,0.397,2,5.3,0.37,0.7,1.5,0.496,0.542,0.3,0.4,0.686,0.8,4,4.8,2.8,0.7,0.6,0.9,2.2,7.7,"11.1",".548",".783",".065","3.4","17.9","10.7","15.0","1.5","2.0","11.6","13.9","1.3","2.1","3.4",".085","-1.0","1.0","0.0","1.0"
"382","382","Chuma Okeke","SF",25,47,8,9.2,0.9,2.4,0.357,0.5,1.7,0.28,0.4,0.6,0.567,0.46,0.1,0.1,0.571,0.4,1.3,1.7,0.4,0.2,0.1,0.3,0.4,2.3,"6.9",".465",".732",".063","4.9","17.0","10.9","6.2","1.0","1.5","12.2","13.3","-0.3","0.6","0.3",".029","-3.2","-0.2","-3.4","-0.2"
"383","383","Josh Okogie","SG",25,60,11,16,1.4,3.4,0.417,0.5,1.6,0.309,1,1.9,0.509,0.488,1.3,1.7,0.745,1.2,1.3,2.6,1.1,0.8,0.4,0.6,1.1,4.6,"12.0",".552",".456",".495","9.2","9.0","9.1","8.4","2.4","2.2","12.5","13.0","1.0","1.1","2.1",".104","-1.3","0.8","-0.5","0.4"
"384","384","Onyeka Okongwu","C",23,55,8,25.5,4.1,6.6,0.611,0.4,1.3,0.333,3.6,5.4,0.676,0.642,1.7,2.1,0.793,2.6,4.2,6.8,1.3,0.5,1.1,0.8,2.9,10.2,"16.9",".674",".189",".318","10.8","18.6","14.6","7.2","0.9","3.8","9.8","13.7","3.5","1.0","4.5",".153","0.0","-0.5","-0.4","0.5"
"385","385","Isaac Okoro","SF",23,69,42,27.3,3.4,7,0.49,1.2,3.1,0.391,2.2,3.8,0.57,0.577,1.3,2,0.679,1,2,3,1.9,0.8,0.5,0.8,2,9.4,"11.4",".599",".448",".285","4.0","8.2","6.1","9.5","1.5","1.6","9.1","13.9","2.1","2.0","4.2",".106","-1.8","0.7","-1.1","0.4"
"386","386","Kelly Olynyk","C",32,78,27,22.6,3.5,6.4,0.555,0.8,2,0.387,2.8,4.4,0.632,0.616,1.9,2.3,0.833,1.4,3.9,5.3,4.4,0.9,0.4,1.9,2.9,9.8,"17.4",".661",".312",".362","6.7","19.0","12.9","27.6","2.0","1.5","20.9","17.5","3.5","1.4","4.9",".133","0.7","1.1","1.8","1.7"
"387","387","Eugene Omoruyi","SF",26,43,0,9.1,1.9,3.9,0.485,0.3,1.1,0.283,1.6,2.8,0.562,0.524,0.7,1.1,0.653,0.8,1.2,2,0.8,0.6,0.1,0.5,1.4,4.8,"16.0",".549",".275",".293","9.3","13.9","11.6","13.0","3.2","1.0","10.0","22.5","0.2","0.4","0.6",".074","-1.9","-0.4","-2.3","0.0"
"388","388","Cedi Osman","SF",28,72,3,17.6,2.6,5.3,0.479,1.2,3.1,0.389,1.4,2.3,0.601,0.591,0.5,0.7,0.673,0.3,2.2,2.5,1.7,0.5,0.2,0.7,1.5,6.8,"11.2",".601",".576",".135","2.1","13.3","7.7","13.0","1.3","0.7","10.4","15.1","1.0","0.9","1.9",".071","-1.7","-0.3","-2.1","0.0"
