"","Rk","Player","Pos","Age","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"488","488","Jae'Sean Tate","SF",28,65,9,15.9,1.7,3.5,0.472,0.4,1.2,0.299,1.3,2.3,0.559,0.522,0.4,0.6,0.667,0.9,2.1,3,1,0.6,0.2,0.6,2.1,4.1,"9.3",".538",".336",".170","6.3","14.3","10.2","8.2","2.0","1.3","13.1","11.7","0.4","1.3","1.8",".082","-3.7","1.5","-2.3","-0.1"
"489","489","Jayson Tatum","PF",25,74,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6,11,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1,0.6,2.5,2,26.9,"22.3",".604",".427",".349","2.9","20.9","12.3","21.0","1.4","1.4","10.3","30.2","6.4","4.1","10.4",".189","4.5","0.6","5.1","4.7"
"490","490","Terry Taylor","PF",24,31,0,6.1,0.6,1.3,0.513,0.1,0.3,0.222,0.6,1,0.6,0.538,0.1,0.2,0.8,0.5,0.6,1.2,0.3,0.2,0.1,0.2,0.5,1.5,"10.1",".558",".231",".128","9.9","12.1","11.0","7.0","1.3","1.1","14.5","11.3","0.1","0.1","0.3",".070","-3.1","-0.1","-3.2","0.0"
"491","491","Garrett Temple","SG",37,27,2,10.7,1.1,2.9,0.372,0.4,1.5,0.3,0.6,1.4,0.447,0.449,0.7,0.8,0.818,0.7,1,1.7,1,0.4,0.1,0.5,1,3.3,"9.5",".502",".513",".282","6.7","10.5","8.6","12.5","2.0","0.9","13.8","15.0","0.0","0.2","0.2",".032","-3.4","-1.2","-4.7","-0.2"
"492","492","Dalen Terry","SG",21,59,2,11.5,1.2,2.7,0.439,0.3,1.3,0.23,0.9,1.4,0.627,0.494,0.4,0.7,0.581,0.5,1.4,1.9,1.4,0.5,0.3,0.5,1.4,3.1,"10.2",".512",".471",".274","4.7","14.1","9.3","15.6","2.0","2.7","15.4","13.4","0.1","0.7","0.8",".060","-3.4","1.1","-2.3","0.0"
"493","493","Daniel Theis","C",31,60,3,16.9,2.6,4.9,0.532,0.4,1.2,0.366,2.2,3.7,0.586,0.577,0.6,0.8,0.76,1.4,2.7,4.1,1,0.4,0.9,0.7,2.1,6.3,"14.4",".597",".242",".171","9.8","17.1","13.6","8.3","1.0","4.5","11.8","15.4","1.4","1.2","2.5",".119","-1.7","0.1","-1.6","0.1"
"494","494","Cam Thomas","SG",22,66,51,31.4,8,18,0.442,2.2,6,0.364,5.8,12,0.481,0.503,4.3,5.1,0.856,0.4,2.8,3.2,2.9,0.7,0.2,1.9,2.1,22.5,"16.1",".554",".333",".281","1.4","10.1","5.6","15.7","1.1","0.7","8.5","30.5","1.3","1.2","2.5",".058","0.7","-1.9","-1.2","0.4"
"495","495","Isaiah Thomas","PG",34,6,0,3.2,0.5,1.7,0.3,0.3,0.7,0.5,0.2,1,0.167,0.4,0,0,NA,0,0,0,0.5,0,0,0,0,1.3,"6.7",".400",".400",".000","0.0","0.0","0.0","21.9","0.0","0.0","0.0","22.8","0.0","0.0","0.0","-0.030","-1.6","-5.2","-6.9","0.0"
"496","496","Amen Thompson","SF",21,62,23,22.4,3.9,7.2,0.536,0.1,0.9,0.138,3.7,6.3,0.595,0.545,1.7,2.5,0.684,2.4,4.2,6.6,2.6,1.3,0.6,1.5,2.3,9.5,"18.2",".576",".130",".348","11.3","20.4","15.8","17.0","2.7","2.5","14.9","18.5","1.9","2.4","4.3",".149","-0.1","1.9","1.8","1.3"
"497","497","Ausar Thompson","SF",21,63,38,25.1,3.7,7.6,0.483,0.3,1.8,0.186,3.3,5.8,0.575,0.505,1.1,1.9,0.597,2,4.3,6.4,1.9,1.1,0.9,1.3,2.8,8.8,"12.8",".522",".235",".248","8.9","19.6","14.2","10.8","2.1","3.2","13.6","16.6","0.1","1.7","1.8",".053","-2.8","0.6","-2.2","-0.1"
"498","498","Klay Thompson","SF",33,77,63,29.7,6.4,14.7,0.432,3.5,9,0.387,2.9,5.7,0.503,0.551,1.6,1.8,0.927,0.5,2.8,3.3,2.3,0.6,0.5,1.5,1.6,17.9,"13.9",".576",".611",".121","1.7","10.2","6.0","11.2","1.1","1.4","8.9","24.2","1.8","1.7","3.6",".075","1.1","-1.5","-0.4","0.9"
"499","499","Tristan Thompson","C",32,49,0,11.2,1.5,2.4,0.608,0,0,0,1.5,2.4,0.613,0.608,0.3,1.1,0.288,1.5,2.1,3.6,1,0.2,0.3,0.6,1.2,3.3,"13.9",".563",".008",".433","15.1","20.4","17.8","12.7","1.1","2.3","16.9","13.8","0.6","0.8","1.4",".119","-2.1","0.6","-1.4","0.1"
"500","500","JT Thor","PF",21,63,3,12.4,1.3,2.9,0.437,0.4,1.3,0.346,0.8,1.6,0.51,0.514,0.2,0.3,0.55,0.7,1.6,2.3,0.5,0.2,0.4,0.2,1,3.2,"9.1",".519",".443",".109","6.0","15.3","10.5","5.1","0.7","3.2","7.3","11.7","0.2","0.3","0.6",".034","-3.5","-1.1","-4.5","-0.5"
"501","501","Matisse Thybulle","SF",26,65,19,22.9,1.9,4.9,0.397,1.2,3.6,0.346,0.7,1.3,0.535,0.524,0.3,0.4,0.759,0.5,1.6,2.1,1.4,1.7,0.8,0.6,1.4,5.4,"10.4",".537",".729",".091","2.1","8.5","5.1","8.3","3.8","3.0","10.8","10.6","0.4","1.8","2.2",".072","-2.8","3.4","0.6","0.9"
"502","502","Xavier Tillman Sr.","C",25,54,15,18,2.2,5.2,0.434,0.4,1.5,0.247,1.9,3.7,0.51,0.47,0.4,0.9,0.44,1.3,2.6,3.9,1.4,0.9,0.8,0.6,1.4,5.3,"12.2",".472",".290",".179","7.7","16.1","11.8","11.3","2.6","4.2","10.1","14.8","-0.1","1.6","1.4",".071","-3.1","1.9","-1.2","0.2"
"503","503","Jacob Toppin","SF",23,9,0,4.2,0.6,1,0.556,0.1,0.4,0.25,0.4,0.6,0.8,0.611,0.2,0.2,1,0.3,0.4,0.8,0.3,0,0.1,0.1,0.3,1.4,"14.3",".658",".444",".222","8.8","11.9","10.3","10.9","0.0","2.5","9.2","12.4","0.1","0.0","0.1",".161","0.6","-1.3","-0.7","0.0"
"504","504","Obi Toppin","PF",25,82,28,21.1,4,7.1,0.573,1.2,3.1,0.403,2.8,4,0.706,0.661,0.9,1.2,0.77,1,2.9,3.9,1.6,0.6,0.5,0.8,1.7,10.3,"16.5",".677",".437",".173","5.6","15.4","10.5","9.4","1.3","2.0","10.0","16.8","3.6","1.1","4.8",".132","1.8","-0.3","1.5","1.5"
"505","505","Juan Toscano-Anderson","SF",30,11,0,4.8,0.3,1.1,0.25,0.1,0.4,0.25,0.2,0.7,0.25,0.292,0,0,NA,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1,0.6,"2.5",".292",".333",".000","8.3","21.6","14.8","9.0","0.9","1.7","14.3","11.3","-0.1","0.1","0.0","-0.024","-8.7","-0.6","-9.4","-0.1"
"506","506","Karl-Anthony Towns","PF",28,62,62,32.7,7.7,15.3,0.504,2.2,5.3,0.416,5.5,10.1,0.55,0.575,4.1,4.7,0.873,1.5,6.8,8.3,3,0.7,0.7,2.9,3.3,21.8,"18.8",".625",".344",".307","5.5","22.6","14.4","15.1","1.0","1.8","14.1","27.4","2.6","3.6","6.3",".148","1.6","0.9","2.5","2.3"
"507","507","Gary Trent Jr.","SG",25,71,41,28.1,5.1,11.9,0.426,2.5,6.4,0.393,2.6,5.5,0.464,0.531,1,1.4,0.771,0.4,2.3,2.6,1.7,1.1,0.1,0.7,1.4,13.7,"12.0",".548",".535",".113","1.4","9.2","5.2","8.6","1.9","0.4","5.0","20.0","0.8","0.9","1.7",".040","-1.2","-1.4","-2.6","-0.3"
"508","508","Oscar Tshiebwe","PF",24,8,0,5.3,1.3,2.5,0.5,0,0,NA,1.3,2.5,0.5,0.5,0.8,1,0.75,1,1,2,0.3,0.3,0.1,0,0.4,3.3,"24.8",".553",".000",".400","21.6","21.6","21.6","6.4","2.2","1.9","0.0","23.5","0.1","0.0","0.2",".221","4.5","-2.3","2.2","0.0"
"509","509","P.J. Tucker","PF",38,31,10,15.7,0.6,1.6,0.36,0.4,1.1,0.371,0.2,0.5,0.333,0.49,0.1,0.1,1,0.9,1.8,2.7,0.5,0.5,0.2,0.3,1.7,1.7,"5.9",".507",".700",".060","6.7","12.9","9.8","3.9","1.6","1.3","13.5","5.3","0.2","0.5","0.7",".068","-4.0","0.4","-3.6","-0.2"
"510","510","Myles Turner","C",27,77,77,27,6.2,11.8,0.524,1.5,4.2,0.358,4.7,7.6,0.615,0.587,3.2,4.1,0.773,1.5,5.5,6.9,1.3,0.5,1.9,1.4,3,17.1,"19.3",".626",".356",".349","6.2","22.9","14.5","6.4","0.9","5.5","9.4","23.4","3.6","2.2","5.8",".134","1.0","-0.1","0.9","1.5"
"511","511","Hunter Tyson","PF",23,18,0,2.7,0.4,1.1,0.4,0.2,0.8,0.286,0.2,0.3,0.667,0.5,0,0,NA,0.1,0.4,0.5,0.1,0.1,0,0.1,0.6,1.1,"6.0",".500",".700",".000","2.4","18.0","10.4","5.6","1.0","0.0","9.1","20.0","0.0","0.1","0.0",".007","-6.8","-2.1","-8.9","-0.1"
"512","512","Stanley Umude","SG",24,24,2,12.8,1.5,3.5,0.44,1,2.2,0.453,0.5,1.3,0.419,0.583,1.2,1.3,0.906,0.3,1.8,2.1,0.5,0.3,0.3,0.6,1.7,5.3,"11.4",".647",".631",".381","2.9","15.9","9.3","4.9","1.3","2.0","12.5","15.6","0.3","0.2","0.5",".085","-1.5","-0.1","-1.6","0.0"
"513","513","Jonas Valančiūnas","C",31,82,82,23.5,4.9,8.8,0.559,0.5,1.5,0.308,4.5,7.3,0.609,0.585,2,2.5,0.785,2.3,6.5,8.8,2.1,0.4,0.8,1.4,2.7,12.2,"19.8",".619",".167",".285","10.9","30.6","20.9","13.3","0.8","3.5","12.1","20.8","3.9","3.1","7.1",".177","0.7","0.5","1.2","1.6"
"514","514","Jarred Vanderbilt","PF",24,29,6,20,2,3.9,0.518,0.3,0.9,0.296,1.8,3,0.586,0.553,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1,1.5,5.2,"11.6",".578",".237",".316","8.3","17.7","13.2","7.7","2.9","0.7","17.7","11.7","0.3","0.8","1.1",".089","-2.9","1.3","-1.6","0.0"
"515","515","Fred VanVleet","PG",29,73,73,36.8,5.8,13.9,0.416,3.1,8,0.387,2.7,5.9,0.454,0.527,2.7,3.1,0.86,0.5,3.4,3.8,8.1,1.4,0.8,1.7,2.5,17.4,"16.7",".568",".576",".225","1.3","9.9","5.6","31.1","1.8","2.0","10.1","19.7","5.3","3.1","8.4",".150","2.6","0.8","3.4","3.6"
"516","516","Devin Vassell","SG",23,68,62,33.1,7.3,15.5,0.472,2.4,6.6,0.372,4.9,9,0.544,0.55,2.4,3,0.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1,19.5,"15.7",".578",".422",".190","1.3","11.3","6.3","19.1","1.5","0.8","8.6","23.5","2.0","1.6","3.6",".077","0.9","-0.9","0.0","1.1"
"517","517","Sasha Vezenkov","PF",28,42,0,12.2,2,4.5,0.44,1.1,2.9,0.375,0.9,1.7,0.549,0.558,0.3,0.4,0.8,0.7,1.6,2.3,0.5,0.5,0.2,0.3,1,5.4,"13.3",".569",".628",".079","6.4","14.8","10.5","5.1","1.9","1.3","5.7","17.5","0.5","0.5","1.0",".098","-0.2","-0.7","-0.9","0.1"
"518","518","Gabe Vincent","PG",27,11,0,19.8,1.4,4.5,0.306,0.3,2.5,0.107,1.1,1.9,0.571,0.337,0.1,0.2,0.5,0.4,0.5,0.8,1.9,0.8,0,0.5,1.7,3.1,"3.1",".341",".571",".041","2.1","2.4","2.3","11.6","2.0","0.0","9.1","10.9","-0.3","0.1","-0.1","-0.033","-6.9","0.4","-6.5","-0.2"
"519","519","Nikola Vučević","C",33,76,74,34.3,7.7,15.9,0.484,1.2,4.1,0.294,6.5,11.8,0.55,0.522,1.4,1.7,0.822,2.8,7.8,10.5,3.3,0.7,0.8,1.6,2.5,18,"17.7",".540",".258",".107","8.8","25.8","17.1","15.2","1.0","2.4","8.6","23.3","2.7","2.8","5.4",".100","0.8","-0.7","0.1","1.4"
"520","520","Tristan Vukcevic","C",20,10,4,15.3,2.9,6.7,0.433,1,3.6,0.278,1.9,3.1,0.613,0.507,1.7,2.2,0.773,0.6,3,3.6,1.3,0.5,0.7,1,2.8,8.5,"13.9",".554",".537",".328","4.1","21.5","12.6","12.1","1.5","3.7","11.5","23.9","0.0","0.1","0.1",".045","-3.5","-0.1","-3.6","-0.1"
"521","521","Dean Wade","PF",27,54,32,20.5,1.8,4.3,0.414,1.5,3.7,0.391,0.3,0.6,0.567,0.584,0.4,0.5,0.769,0.7,3.4,4,0.8,0.7,0.5,0.4,1.7,5.4,"10.2",".598",".871",".112","3.8","18.2","11.1","5.0","1.8","2.0","7.6","10.5","0.9","1.6","2.5",".110","-1.7","1.8","0.1","0.6"
"522","522","Franz Wagner","SF",22,72,72,32.5,7.3,15.2,0.482,1.3,4.6,0.281,6,10.6,0.57,0.525,3.8,4.4,0.85,1,4.3,5.3,3.7,1.1,0.4,1.9,2.3,19.7,"17.6",".575",".305",".291","3.6","15.7","9.6","18.8","1.6","1.1","10.0","25.7","3.1","3.2","6.4",".131","0.9","0.3","1.2","1.9"
"523","523","Moritz Wagner","C",26,80,1,17.7,4.2,6.9,0.601,0.5,1.4,0.33,3.7,5.5,0.673,0.636,2.1,2.6,0.814,1.5,2.9,4.3,1.2,0.5,0.3,1.2,2,10.9,"20.6",".676",".208",".370","9.6","19.3","14.4","11.2","1.4","1.4","13.1","22.8","3.5","2.0","5.6",".188","1.7","0.3","2.0","1.4"
"524","524","Ish Wainright","SF",29,11,0,5.6,0.6,2.2,0.292,0.6,1.8,0.35,0,0.4,0,0.438,0.2,0.2,1,0.3,1,1.3,0.1,0.4,0.1,0.2,0.7,2.1,"8.9",".462",".833",".083","5.8","20.8","12.7","2.0","3.2","1.5","7.4","18.5","0.0","0.1","0.0",".029","-2.9","0.5","-2.4","0.0"
"525","525","Jabari Walker","SF",21,72,23,23.6,3.3,7.1,0.46,0.6,1.9,0.295,2.7,5.1,0.522,0.5,1.8,2.4,0.754,2.1,5,7.1,1,0.6,0.3,0.9,2.4,8.9,"13.0",".546",".273",".336","9.4","25.0","16.7","6.2","1.2","1.2","10.2","16.3","1.4","1.6","2.9",".083","-2.4","-0.9","-3.3","-0.6"
"526","526","Jarace Walker","PF",20,33,0,10.3,1.4,3.3,0.409,0.7,1.7,0.4,0.7,1.7,0.418,0.509,0.2,0.3,0.889,0.4,1.5,1.9,1.2,0.5,0.3,0.5,0.9,3.6,"11.8",".527",".500",".082","4.0","17.0","10.5","13.9","2.1","2.6","13.0","16.1","0.1","0.3","0.4",".058","-0.5","0.7","0.2","0.2"
"527","527","Lonnie Walker IV","SG",25,58,0,17.4,3.6,8.5,0.423,1.8,4.7,0.384,1.8,3.8,0.471,0.528,0.8,1,0.763,0.2,2,2.2,1.3,0.6,0.3,0.9,1.2,9.7,"13.1",".545",".551",".120","1.4","12.7","6.9","11.5","1.6","1.8","9.0","24.4","-0.1","0.9","0.8",".038","-0.4","-1.0","-1.4","0.2"
"528","528","Cason Wallace","SG",20,82,13,20.6,2.6,5.4,0.491,1.2,2.9,0.419,1.5,2.5,0.572,0.602,0.4,0.5,0.784,0.6,1.6,2.3,1.5,0.9,0.5,0.5,1.6,6.8,"12.0",".612",".529",".084","3.6","8.6","6.2","8.9","2.2","2.0","8.9","12.9","1.9","2.1","4.0",".115","-0.9","1.0","0.1","0.9"
"529","529","Jordan Walsh","SF",19,9,1,9.2,0.7,1.7,0.4,0.2,1,0.222,0.4,0.7,0.667,0.467,0.1,0.2,0.5,0.6,1.7,2.2,0.6,0.6,0.1,0.3,1.2,1.7,"8.4",".472",".600",".133","6.8","18.7","13.0","7.2","3.0","1.1","15.9","9.9","0.0","0.2","0.2",".089","-5.6","1.8","-3.8","0.0"
"530","530","T.J. Warren","SF",30,11,0,11.4,1.6,3.7,0.439,0.2,1.2,0.154,1.5,2.5,0.571,0.463,0.3,0.4,0.75,0.5,1.5,2,0.8,0.4,0.1,0.4,1,3.7,"9.2",".479",".317",".098","4.8","14.8","10.0","10.1","1.6","0.7","8.6","16.5","0.0","0.2","0.2",".060","-5.0","0.5","-4.5","-0.1"
"531","531","P.J. Washington","PF",25,73,45,30.4,4.8,11.1,0.436,1.8,5.7,0.32,3,5.5,0.558,0.518,1.4,2,0.683,1.2,4.5,5.6,1.9,1,0.8,1.3,2.3,12.9,"12.2",".537",".509",".179","4.2","16.5","10.3","9.3","1.6","2.4","9.9","19.1","0.0","1.9","1.9",".040","-1.7","-0.4","-2.1","-0.1"
"532","532","TyTy Washington Jr.","PG",22,11,0,5.1,0.5,1.8,0.3,0.2,0.5,0.333,0.4,1.3,0.286,0.35,0,0,NA,0.1,0.4,0.5,0.5,0.3,0,0.2,0.1,1.3,"4.6",".350",".300",".000","2.0","7.7","4.9","11.4","2.6","0.0","9.1","17.0","-0.1","0.1","-0.1","-0.072","-7.1","-1.0","-8.2","-0.1"
"533","533","Yuta Watanabe","SF",29,34,0,13.6,1.2,3.4,0.353,0.7,2.5,0.294,0.5,0.9,0.516,0.461,0.3,0.5,0.588,0.3,1.3,1.6,0.4,0.4,0.2,0.6,1.1,3.4,"4.7",".474",".733",".147","2.8","10.1","6.5","4.2","1.3","1.3","13.3","13.3","-0.5","0.4","-0.1","-0.009","-5.3","-1.1","-6.4","-0.5"
"534","534","Lindy Waters III","SG",26,38,0,7.4,1.3,2.7,0.471,1,2.2,0.435,0.3,0.5,0.632,0.649,0.1,0.1,1,0.2,0.9,1.1,0.6,0.1,0.2,0.2,0.6,3.6,"15.3",".653",".817",".019","2.9","12.6","8.0","11.5","0.9","2.3","6.3","17.3","0.6","0.3","0.9",".150","2.4","-0.5","1.9","0.3"
"535","535","Trendon Watford","PF",23,63,2,13.6,2.6,4.9,0.527,0.4,1.1,0.397,2.2,3.9,0.564,0.571,1.2,1.5,0.794,0.8,2.3,3.1,1.3,0.4,0.3,1,1.7,6.9,"15.7",".611",".219",".312","6.5","18.7","12.4","14.6","1.3","2.0","15.1","21.1","0.9","0.9","1.8",".100","-0.9","0.4","-0.5","0.3"
"536","536","Peyton Watson","SF",21,80,4,18.6,2.6,5.6,0.465,0.6,1.9,0.296,2,3.7,0.553,0.516,0.9,1.3,0.67,0.7,2.5,3.2,1.1,0.5,1.1,0.7,1.8,6.7,"11.8",".539",".340",".237","4.3","14.6","9.6","7.4","1.4","5.0","10.5","16.2","0.3","2.2","2.5",".079","-3.0","0.8","-2.2","-0.1"
"537","537","Victor Wembanyama","C",20,71,71,29.7,7.8,16.7,0.465,1.8,5.5,0.325,6,11.2,0.534,0.519,4.1,5.2,0.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4,"23.1",".565",".332",".309","8.2","30.7","19.4","21.5","2.0","10.0","16.2","32.2","-0.7","4.4","3.7",".085","1.9","3.3","5.2","3.8"
"538","538","Blake Wesley","SG",20,61,3,14.4,1.7,3.5,0.474,0.2,0.9,0.218,1.5,2.6,0.563,0.502,0.9,1.3,0.667,0.3,1.2,1.5,2.7,0.5,0.1,0.9,1.5,4.4,"10.1",".537",".256",".363","2.2","9.5","5.8","25.3","1.6","0.9","18.1","14.7","0.3","0.6","0.9",".050","-4.0","0.1","-4.0","-0.4"
"539","539","Russell Westbrook","PG",35,68,11,22.5,4.4,9.8,0.454,0.6,2.3,0.273,3.8,7.5,0.509,0.486,1.6,2.4,0.688,1.4,3.7,5,4.5,1.1,0.3,2.1,1.8,11.1,"16.2",".514",".232",".241","7.1","17.8","12.7","29.2","2.4","1.4","16.4","25.2","0.2","1.9","2.1",".066","-0.2","0.7","0.5","1.0"
"540","540","Coby White","PG",23,79,78,36.5,6.8,15.3,0.447,2.6,7,0.376,4.2,8.3,0.508,0.534,2.8,3.3,0.838,0.6,4,4.5,5.1,0.7,0.2,2.1,2.4,19.1,"14.5",".570",".460",".215","1.7","12.4","6.9","20.8","0.9","0.6","11.1","22.7","3.1","1.6","4.7",".078","0.7","-1.3","-0.7","0.9"
"541","541","Derrick White","SG",29,73,73,32.6,5.3,11.5,0.461,2.7,6.8,0.396,2.6,4.7,0.555,0.578,1.9,2.1,0.901,0.7,3.5,4.2,5.2,1,1.2,1.5,2.1,15.2,"16.9",".611",".590",".181","2.4","11.3","7.0","21.2","1.5","3.2","11.0","18.6","5.2","3.3","8.5",".171","2.4","1.4","3.8","3.5"
"542","542","Jack White","SF",26,4,0,16,0.5,4,0.125,0.5,2.5,0.2,0,1.5,0,0.188,0,0,NA,1,2,3,0.3,1,0.3,0.5,0.8,1.5,"1.1",".188",".625",".000","6.6","14.2","10.3","2.0","3.1","1.5","11.1","12.1","-0.2","0.1","-0.1","-0.100","-9.1","-1.2","-10.3","-0.1"
"543","543","Cam Whitmore","SF",19,47,2,18.7,4.5,9.9,0.454,1.7,4.7,0.359,2.8,5.3,0.538,0.539,1.6,2.4,0.679,0.9,2.9,3.8,0.7,0.6,0.4,1,1.4,12.3,"16.6",".561",".471",".240","5.3","16.7","11.0","6.0","1.7","1.8","8.2","27.1","0.4","1.1","1.5",".082","1.0","-0.9","0.1","0.5"
"544","544","Aaron Wiggins","SG",25,78,4,15.7,2.7,4.8,0.562,0.8,1.6,0.492,1.9,3.2,0.598,0.645,0.7,0.9,0.789,0.8,1.6,2.4,1.1,0.7,0.2,0.7,1.2,6.9,"15.6",".664",".334",".188","5.7","11.0","8.4","9.3","2.2","1.4","12.1","16.4","2.1","1.6","3.7",".144","0.4","0.4","0.7","0.8"
"545","545","Andrew Wiggins","SF",28,71,59,27,5,11,0.453,1.3,3.6,0.358,3.7,7.4,0.498,0.511,2,2.7,0.751,1.5,3,4.5,1.7,0.6,0.6,1.2,2.1,13.2,"12.7",".544",".326",".242","6.2","11.8","9.0","8.6","1.1","1.9","9.2","20.9","1.2","1.6","2.8",".070","-1.4","-1.2","-2.5","-0.3"
"546","546","Lindell Wigginton","PG",25,3,0,2.7,0.7,1.7,0.4,0,0.7,0,0.7,1,0.667,0.4,0.7,0.7,1,0,0,0,0,0,0,0.3,0.3,2,"5.6",".510",".400",".400","0.0","0.0","0.0","0.0","0.0","0.0","14.5","37.1","0.0","0.0","0.0","-0.154","-14.6","-9.2","-23.9","0.0"
"547","547","Alondes Williams","SG",24,7,0,2.3,0.3,1.1,0.25,0,0.6,0,0.3,0.6,0.5,0.25,0.1,0.1,1,0,0.1,0.1,0,0,0.1,0.3,0.3,0.7,"-7.9",".296",".500",".125","0.0","7.1","3.5","0.0","0.0","6.1","19.2","29.1","-0.1","0.0","-0.1","-0.357","-17.8","-5.4","-23.2","-0.1"
"548","548","Brandon Williams","PG",24,17,0,6.6,1.2,3.2,0.37,0.2,0.9,0.2,1,2.3,0.436,0.398,0.6,1,0.647,0.2,0.5,0.8,1,0.1,0.1,0.4,0.2,3.2,"9.3",".439",".278",".315","3.9","8.7","6.3","20.9","0.4","0.8","10.2","26.0","-0.2","0.1","-0.1","-0.044","-2.7","-2.8","-5.5","-0.1"
"549","549","Grant Williams","PF",25,76,43,28,3.6,8,0.456,1.7,4.4,0.375,2,3.5,0.558,0.56,1.4,1.8,0.757,1.1,3.1,4.2,2.3,0.6,0.5,1.4,3,10.3,"10.6",".588",".555",".231","4.4","12.2","8.3","11.3","1.0","1.6","14.1","15.9","1.3","1.3","2.6",".059","-1.9","-0.7","-2.6","-0.3"
"550","550","Jalen Williams","PF",22,71,71,31.3,7.5,14,0.54,1.5,3.4,0.427,6.1,10.6,0.576,0.592,2.5,3.1,0.814,0.5,3.5,4,4.5,1.1,0.6,1.7,2.5,19.1,"19.1",".621",".243",".223","1.9","11.8","7.1","21.3","1.7","1.9","10.1","23.7","4.5","2.7","7.3",".157","2.0","0.3","2.3","2.4"
"551","551","Jaylin Williams","C",21,69,1,13,1.4,3.3,0.417,0.8,2.1,0.368,0.6,1.2,0.5,0.533,0.5,0.6,0.805,0.5,2.9,3.4,1.6,0.4,0.4,0.5,1.4,4,"12.7",".561",".632",".180","4.7","23.7","14.5","15.0","1.5","2.8","12.1","13.5","1.0","1.5","2.4",".130","-0.8","1.9","1.1","0.7"
"552","552","Jeenathan Williams","SG",24,22,0,5.9,1.2,2.3,0.54,0.1,0.2,0.4,1.1,2,0.556,0.56,0.3,0.6,0.538,0.5,0.5,1,0.3,0.2,0,0.2,0.5,2.9,"15.6",".565",".100",".260","9.9","9.2","9.6","8.3","1.5","0.7","6.7","19.7","0.2","0.1","0.3",".110","-0.8","-0.8","-1.6","0.0"
"553","553","Kenrich Williams","PF",29,69,1,14.9,1.9,4.1,0.468,0.8,2,0.397,1.1,2,0.54,0.568,0.1,0.2,0.5,0.9,2.1,3,1.3,0.6,0.1,0.5,1.5,4.7,"11.9",".568",".504",".050","6.9","15.4","11.3","11.4","1.8","0.8","10.1","13.4","1.1","1.3","2.5",".115","-1.1","0.3","-0.8","0.3"
"554","554","Malik Williams","C",25,7,2,15.3,1.3,4.9,0.265,0.1,0.7,0.2,1.1,4.1,0.276,0.279,0,0.3,0,2.1,3.3,5.4,0.3,0.4,0.6,0.4,2.1,2.7,"4.9",".272",".147",".059","15.1","24.1","19.5","2.4","1.4","3.3","7.9","15.1","-0.3","0.1","-0.2","-0.069","-7.8","-3.7","-11.5","-0.3"
"555","555","Mark Williams","C",22,19,19,26.7,5.2,7.9,0.649,0,0,NA,5.2,7.9,0.649,0.649,2.4,3.4,0.719,4,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7,"22.5",".675",".000",".424","16.3","24.6","20.4","6.8","1.6","3.7","8.7","17.1","1.6","0.5","2.1",".198","1.6","-0.8","0.8","0.3"
"556","556","Patrick Williams","PF",22,43,30,27.3,3.7,8.3,0.443,1.4,3.4,0.399,2.3,4.9,0.474,0.525,1.2,1.5,0.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2,10,"11.0",".553",".412",".184","4.3","11.7","7.9","7.7","1.7","2.9","12.8","16.6","0.1","1.0","1.2",".048","-2.1","-0.1","-2.3","-0.1"
"557","557","Robert Williams","C",26,6,0,19.8,2.8,4.3,0.654,0,0,NA,2.8,4.3,0.654,0.654,1.2,1.5,0.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8,"17.2",".684",".000",".346","9.8","27.0","17.9","6.3","2.9","5.3","18.9","13.2","0.2","0.2","0.4",".144","-2.2","2.9","0.7","0.1"
"558","558","Vince Williams Jr.","SG",23,52,33,27.6,3.3,7.3,0.446,1.5,4,0.378,1.7,3.3,0.529,0.55,2,2.5,0.8,1.1,4.4,5.6,3.4,0.9,0.7,1.8,2.6,10,"12.8",".597",".551",".343","4.3","18.3","11.0","18.0","1.6","2.2","17.4","15.8","1.1","1.7","2.8",".093","-1.7","1.0","-0.7","0.5"
"559","559","Ziaire Williams","SF",22,51,15,20.4,2.9,7.4,0.397,1.1,3.7,0.307,1.8,3.7,0.487,0.474,1.2,1.5,0.827,0.7,2.8,3.5,1.5,0.7,0.2,1.3,1.7,8.2,"9.3",".511",".500",".198","3.5","15.9","9.5","11.1","1.7","0.8","13.8","19.7","-0.9","1.1","0.2",".010","-4.0","-0.4","-4.5","-0.6"
